SYMBOL,Total Profit (â‚¹),Trades
SRF,69676.69467460822,28
GLENMARK,63525.444910030164,17
SAMMAANCAP,56545.26074920124,17
INDUSINDBK,54712.78156493595,19
HINDPETRO,53465.38490615532,26
HDFCAMC,52163.02915133635,22
ICICIPRULI,47257.03765428603,21
SHRIRAMFIN,45079.35924601984,18
NMDC,44458.091671874114,22
MRF,44276.888558087405,14
HAVELLS,43450.6028490484,18
MGL,42939.140653054215,21
ULTRACEMCO,42519.69671124875,17
RBLBANK,42025.324394521806,23
DLF,41787.291346449616,20
LTIM,40278.64672094117,19
BANDHANBNK,40098.45185691413,17
GODREJCP,38001.97372797948,19
ESCORTS,36501.183050938234,18
UPL,36360.5624500251,14
LUPIN,34521.00261893884,23
BIOCON,33938.19708567352,18
INDIGO,32938.73314764339,21
HDFCLIFE,32578.806743573026,24
HINDZINC,28833.244944473416,23
TATACONSUM,28369.24694253748,24
BATAINDIA,28294.73241555939,15
BERGEPAINT,27725.99811393783,19
TATAMOTORS,27552.23853639148,10
POWERGRID,26859.09268185232,14
GAIL,26670.931827063334,20
PNB,26399.563570855706,19
DIVISLAB,25784.92908304078,17
TATACHEM,24535.696765205448,25
ADANIPORTS,24043.43927404957,15
BOSCHLTD,23585.34775876706,22
SUNPHARMA,23058.52487791505,18
PEL,22169.96440220316,19
JINDALSTEL,21816.564716949833,9
ICICIGI,15126.387953622538,14
WIPRO,13468.39889039105,13
UNITDSPR,13099.312405722778,24
TATASTEEL,12910.304540209145,17
AMBUJACEM,12403.058503533535,19
TITAN,9924.704481664385,19
IDFCFIRSTB,8632.161304570505,10
TECHM,7940.049923759802,13
PIDILITIND,7618.081878572882,22
DABUR,765.7001256349134,16
AUROPHARMA,-95.60124493776925,18
PVRINOX,-772.5230128342905,16
APOLLOHOSP,-1906.8564190473871,14
IBULHSGFIN,-2503.856651240061,1
ZYDUSLIFE,-6015.378881084361,26
ADANIGREEN,-7730.006893447178,15
